,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
300,Other,Other,7.83,7.67,7.5,7.58,7.67,0.1,Yes
112,Brazil,Bourbon,8.0,7.75,7.75,8.0,7.75,0.11,Yes
605,Other,Catuai,7.42,7.5,7.58,7.5,7.75,0.0,Yes
561,Brazil,Yellow Bourbon,7.67,7.58,7.5,7.5,7.42,0.11,Yes
1303,Honduras,Catuai,6.67,6.17,6.67,6.83,6.17,0.1,No
406,Costa Rica,Catuai,7.5,7.67,7.5,7.83,7.17,0.11,Yes
193,Colombia,Caturra,7.83,7.75,7.58,7.67,8.0,0.11,Yes
1252,Guatemala,Bourbon,7.08,6.33,7.0,6.92,7.0,0.11,No
1190,Mexico,Typica,7.17,6.92,7.08,7.17,7.0,0.14,No
1274,Guatemala,Bourbon,7.92,7.17,7.58,7.33,7.17,0.11,No
972,"Tanzania, United Republic Of",Bourbon,7.67,7.17,7.33,7.5,7.17,0.12,Yes
80,Other,Other,8.0,7.92,8.08,7.83,7.75,0.0,Yes
807,Brazil,Other,7.33,7.42,7.17,7.33,7.42,0.11,Yes
442,"Tanzania, United Republic Of",Bourbon,7.67,7.42,7.67,7.67,7.58,0.12,Yes
1180,Mexico,Typica,7.42,7.08,7.17,7.08,7.08,0.14,No
452,Other,Other,7.83,7.67,7.75,7.83,8.5,0.1,Yes
1282,Mexico,Typica,7.33,6.67,7.25,7.5,7.0,0.12,No
736,Guatemala,Other,7.67,7.25,7.67,7.42,7.42,0.11,Yes
883,Costa Rica,Caturra,7.5,7.17,7.17,7.5,7.08,0.11,Yes
96,Other,Other,8.17,7.75,7.75,7.67,7.75,0.11,Yes
71,Other,Other,8.08,7.83,7.67,8.0,7.83,0.12,Yes
954,Honduras,Catuai,7.58,7.17,7.42,7.17,7.17,0.09,Yes
563,Other,Bourbon,7.83,7.75,7.83,7.75,7.75,0.11,Yes
677,Guatemala,Bourbon,7.58,7.25,7.67,7.5,7.5,0.12,Yes
1085,Mexico,Caturra,7.42,7.08,7.33,7.25,7.17,0.12,Yes
991,Costa Rica,Caturra,7.42,7.17,7.25,7.25,7.58,0.13,Yes
330,Guatemala,Bourbon,7.67,7.5,7.42,7.58,7.83,0.11,Yes
518,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,0.11,Yes
600,Mexico,Typica,7.58,7.33,7.75,7.25,7.58,0.12,Yes
218,Brazil,Catuai,7.67,7.75,7.67,7.83,7.75,0.0,Yes
29,Taiwan,Other,8.0,8.0,8.25,8.0,8.17,0.0,Yes
159,Other,Other,7.92,7.67,7.75,7.83,7.75,0.11,Yes
246,Guatemala,Bourbon,7.75,7.5,7.83,7.58,7.67,0.1,Yes
864,Mexico,Other,7.42,7.17,7.67,7.33,7.42,0.13,Yes
622,Colombia,Caturra,7.75,7.67,7.25,7.58,7.42,0.11,Yes
4,Other,Other,8.25,8.25,8.5,8.42,8.33,0.12,Yes
445,Guatemala,Caturra,7.67,7.42,7.75,7.58,7.5,0.11,Yes
750,Mexico,Typica,7.33,7.42,7.67,7.33,7.5,0.11,Yes
115,Taiwan,Typica,7.92,7.83,7.83,7.83,7.83,0.0,Yes
1240,Guatemala,Bourbon,7.0,6.83,7.17,6.67,6.83,0.11,No
156,Brazil,Bourbon,8.0,7.75,7.75,7.58,7.75,0.12,Yes
643,Costa Rica,Catuai,7.67,7.5,7.67,7.0,7.75,0.11,Yes
1015,Other,Other,7.17,7.5,7.5,8.0,7.75,0.11,Yes
902,Brazil,Yellow Bourbon,7.42,7.33,7.33,7.5,7.25,0.12,Yes
968,Taiwan,Typica,7.5,7.25,7.25,7.25,7.25,0.11,Yes
945,Mexico,Caturra,7.42,7.25,7.17,7.25,7.42,0.13,Yes
927,Mexico,Bourbon,7.42,7.33,7.17,7.25,7.42,0.13,Yes
1009,Taiwan,Typica,7.5,7.33,7.33,7.33,7.33,0.11,Yes
808,Mexico,Typica,7.67,7.25,7.5,7.42,7.42,0.12,Yes
891,Mexico,Bourbon,7.5,7.33,7.42,7.42,7.42,0.11,Yes
572,"Tanzania, United Republic Of",Other,7.67,7.33,7.25,7.58,7.75,0.11,Yes
775,Mexico,Typica,7.0,7.5,7.5,7.42,7.5,0.1,Yes
820,Guatemala,Catuai,7.58,7.17,7.83,7.17,7.33,0.11,Yes
1163,Mexico,Other,6.92,7.17,7.17,7.08,7.08,0.0,No
1236,Honduras,Other,6.83,6.67,7.0,7.0,6.83,0.11,No
1038,Other,Catuai,6.92,7.0,7.58,7.5,7.08,0.0,Yes
814,Colombia,Caturra,7.33,7.08,7.42,7.5,7.67,0.07,Yes
212,Costa Rica,Caturra,7.92,7.67,7.67,7.5,7.67,0.09,Yes
573,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,0.12,Yes
769,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,Yes
646,Colombia,Caturra,7.75,7.33,7.42,7.5,7.83,0.11,Yes
591,Other,Other,7.5,7.42,7.67,7.5,7.5,0.11,Yes
140,Mexico,Typica,7.83,7.67,7.92,7.92,7.83,0.13,Yes
879,"Tanzania, United Republic Of",Other,7.33,7.5,7.25,7.42,7.33,0.12,Yes
304,Colombia,Caturra,7.67,7.67,7.92,7.5,7.67,0.0,Yes
35,Other,Other,8.08,8.0,8.25,7.92,7.92,0.12,Yes
12,Other,Other,8.08,8.33,8.42,8.0,8.08,0.0,Yes
1008,Other,Other,7.33,7.17,7.33,7.42,7.42,0.12,Yes
957,Other,Other,7.75,7.08,7.33,7.33,7.25,0.13,Yes
885,Taiwan,Typica,7.5,7.5,7.25,7.42,7.25,0.11,Yes
1149,Costa Rica,Catuai,7.58,7.67,7.75,7.67,7.58,0.1,No
154,Costa Rica,Bourbon,7.75,7.75,8.0,7.83,7.67,0.12,Yes
86,Other,Other,7.75,7.67,8.0,8.08,7.83,0.11,Yes
590,Other,Other,7.67,7.33,7.33,7.67,7.67,0.1,Yes
1166,Mexico,Caturra,7.25,6.92,7.33,7.25,7.0,0.13,No
58,Guatemala,Catuai,8.0,7.83,8.33,7.83,7.83,0.1,Yes
295,Other,Other,7.75,7.5,7.58,7.75,7.75,0.11,Yes
613,Brazil,Yellow Bourbon,7.58,7.42,7.67,7.5,7.5,0.0,Yes
840,Other,Catuai,7.33,7.5,7.42,7.33,7.33,0.0,Yes
734,Brazil,Catuai,7.58,7.25,7.42,7.67,7.33,0.09,Yes
1089,Taiwan,Yellow Bourbon,7.25,7.08,7.25,7.25,7.25,0.11,Yes
727,Mexico,Typica,7.58,7.58,7.33,7.0,7.58,0.15,Yes
670,Brazil,Bourbon,7.67,7.33,7.67,7.5,7.5,0.0,Yes
852,Brazil,Bourbon,7.75,7.5,7.42,7.83,7.75,0.12,Yes
426,Colombia,Caturra,7.58,7.5,7.58,7.58,7.75,0.0,Yes
666,Mexico,Typica,7.5,7.5,7.5,7.42,7.42,0.13,Yes
1209,Mexico,Typica,7.25,6.83,7.0,7.17,7.0,0.14,No
371,Colombia,Caturra,7.67,7.58,7.67,7.67,7.67,0.11,Yes
694,Mexico,Typica,7.42,7.33,7.58,7.5,7.5,0.14,Yes
1146,Taiwan,Typica,7.08,7.25,7.0,7.17,7.17,0.1,No
1054,Mexico,Typica,7.25,7.17,7.25,7.17,7.42,0.12,Yes
185,Colombia,Caturra,7.75,7.33,7.83,7.58,8.08,0.0,Yes
829,Mexico,Other,7.33,7.17,7.58,7.42,7.33,0.12,Yes
1156,Mexico,Typica,7.25,6.92,7.08,7.25,7.08,0.12,No
1072,Brazil,Yellow Bourbon,7.25,7.17,7.5,7.33,7.25,0.11,Yes
584,Guatemala,Bourbon,7.58,7.33,7.58,7.33,7.67,0.12,Yes
1124,Mexico,Typica,7.58,7.42,7.5,7.5,7.5,0.0,No
305,Colombia,Other,7.67,7.42,7.42,8.0,8.33,0.0,Yes
187,Brazil,Yellow Bourbon,8.17,7.5,7.75,7.5,7.67,0.0,Yes
1118,Taiwan,Typica,7.25,7.25,7.0,7.25,7.08,0.11,Yes
880,Brazil,Bourbon,7.25,7.25,7.5,7.5,7.42,0.1,Yes
578,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,0.1,Yes
804,Honduras,Caturra,7.33,7.33,7.5,7.5,7.83,0.11,Yes
1277,Mexico,Other,7.17,6.67,6.83,7.25,7.75,0.11,No
922,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,0.11,Yes
1002,Colombia,Caturra,7.67,7.42,5.25,7.67,7.75,0.0,Yes
42,Brazil,Yellow Bourbon,8.42,8.0,7.75,7.92,8.0,0.01,Yes
1109,Mexico,Typica,7.33,6.92,7.42,7.25,7.08,0.11,Yes
103,Mexico,Other,7.92,7.75,8.08,7.42,7.83,0.0,Yes
1075,Brazil,Yellow Bourbon,7.42,7.08,7.33,7.67,7.5,0.1,Yes
576,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,0.11,Yes
595,Colombia,Typica,7.67,7.42,7.58,7.33,7.67,0.12,Yes
716,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,0.11,Yes
340,Mexico,Caturra,7.75,7.58,7.58,7.5,7.67,0.12,Yes
198,Colombia,Caturra,7.83,7.75,7.58,7.92,7.75,0.12,Yes
1150,Mexico,Typica,7.58,7.0,7.0,7.5,6.92,0.12,No
39,Other,Other,7.67,8.0,8.0,8.17,8.08,0.0,Yes
377,Colombia,Caturra,7.67,7.5,7.67,7.67,7.58,0.11,Yes
129,Guatemala,Bourbon,7.75,7.58,8.0,7.92,7.75,0.1,Yes
121,Other,Other,7.92,7.58,7.92,7.75,7.83,0.13,Yes
655,Honduras,Caturra,7.58,7.33,7.5,7.5,7.5,0.1,Yes
470,Mexico,Typica,7.5,7.58,7.58,7.67,7.5,0.11,Yes
888,Guatemala,Bourbon,7.5,7.33,7.33,7.33,7.33,0.11,Yes
1301,Mexico,Typica,6.92,6.83,6.92,7.42,6.92,0.12,No
975,Honduras,Catuai,7.42,7.0,7.42,7.33,7.33,0.13,Yes
871,Guatemala,Bourbon,7.42,7.08,7.42,7.33,7.42,0.1,Yes
831,Brazil,Other,7.42,7.25,7.5,7.33,7.5,0.12,Yes
1019,"Tanzania, United Republic Of",Other,7.33,7.17,7.25,7.42,7.33,0.12,Yes
1204,Mexico,Typica,7.33,6.75,7.08,7.17,7.25,0.12,No
271,Mexico,Typica,7.67,7.58,7.67,7.75,7.83,0.12,Yes
481,Brazil,Yellow Bourbon,7.33,7.67,7.33,7.75,7.42,0.0,Yes
427,Guatemala,Caturra,7.5,7.58,7.67,7.67,7.5,0.1,Yes
1064,Honduras,Caturra,7.5,7.0,7.42,7.33,7.0,0.11,Yes
15,Other,Other,8.0,8.58,8.17,8.17,8.0,0.0,Yes
1222,Mexico,Typica,7.08,6.83,7.0,7.0,6.92,0.12,No
375,Colombia,Caturra,7.5,7.58,7.5,7.75,7.83,0.0,Yes
926,Mexico,Typica,7.33,7.33,7.33,7.33,7.42,0.11,Yes
180,Honduras,Caturra,7.92,7.75,7.67,7.67,7.75,0.1,Yes
487,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,0.11,Yes
459,Honduras,Caturra,7.67,7.5,7.67,7.5,7.67,0.11,Yes
535,Colombia,Caturra,7.58,7.5,7.33,7.67,7.58,0.11,Yes
551,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,0.11,Yes
122,Honduras,Catuai,7.83,8.0,7.67,7.67,7.67,0.11,Yes
133,Costa Rica,Catuai,8.0,7.83,7.75,7.75,7.75,0.11,Yes
747,Mexico,Bourbon,7.5,7.42,7.67,7.33,7.42,0.13,Yes
845,Other,Typica,7.42,7.42,7.33,7.42,7.42,0.11,Yes
1096,Mexico,Caturra,7.25,7.0,7.33,7.33,7.0,0.1,Yes
368,Mexico,Typica,7.67,7.67,7.75,7.58,7.5,0.11,Yes
489,Mexico,Other,7.75,7.42,7.75,7.5,7.5,0.1,Yes
517,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,0.11,Yes
633,Guatemala,Bourbon,7.5,7.42,7.75,7.5,7.5,0.1,Yes
446,Honduras,Catuai,7.67,7.5,7.67,7.5,7.67,0.11,Yes
617,Taiwan,Typica,8.0,7.83,7.42,7.25,7.25,0.08,Yes
149,Guatemala,Bourbon,8.0,7.67,7.58,7.58,7.67,0.09,Yes
307,Colombia,Caturra,7.75,7.75,7.58,7.42,8.0,0.11,Yes
147,Other,Other,7.83,7.83,7.75,7.58,7.83,0.1,Yes
391,Colombia,Caturra,7.5,7.58,7.5,7.67,7.75,0.11,Yes
861,"Tanzania, United Republic Of",Other,7.42,7.42,7.42,7.33,7.33,0.12,Yes
1278,Mexico,Other,7.25,6.67,7.08,7.17,6.83,0.12,No
497,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,0.11,Yes
464,Mexico,Typica,7.75,7.58,7.58,7.5,7.42,0.11,Yes
1200,Other,Typica,7.67,7.08,7.25,8.0,7.5,0.0,No
224,Other,Other,7.58,7.75,7.75,7.75,7.83,0.08,Yes
364,Honduras,Caturra,7.67,7.67,7.5,7.67,7.67,0.1,Yes
399,Brazil,Catuai,7.5,7.33,7.58,7.58,7.92,0.1,Yes
383,Colombia,Caturra,7.58,7.58,7.67,7.58,7.67,0.12,Yes
202,"Tanzania, United Republic Of",Other,7.83,7.75,7.75,7.67,7.75,0.12,Yes
805,Colombia,Caturra,7.33,7.58,7.5,7.5,7.58,0.11,Yes
693,Mexico,Typica,7.42,7.5,7.42,7.58,7.5,0.13,Yes
638,Other,Typica,7.83,7.42,7.33,7.42,7.5,0.13,Yes
783,"Tanzania, United Republic Of",Other,7.42,7.5,7.33,7.33,7.5,0.12,Yes
656,Guatemala,Bourbon,7.5,7.33,7.5,7.67,7.5,0.1,Yes
45,Brazil,Bourbon,8.33,8.0,8.0,7.75,8.0,0.11,Yes
923,Mexico,Typica,7.33,7.17,7.42,7.5,7.5,0.13,Yes
309,Mexico,Caturra,7.83,7.58,7.5,7.75,7.67,0.13,Yes
1142,Mexico,Typica,7.17,7.0,7.25,7.5,7.0,0.12,No
1203,Mexico,Typica,7.17,6.83,7.25,7.17,6.92,0.14,No
732,Brazil,Other,7.58,7.25,7.58,7.42,7.5,0.11,Yes
239,Other,Other,7.92,7.83,8.0,7.92,7.92,0.09,Yes
1128,Mexico,Other,7.08,7.0,7.33,7.08,7.0,0.11,No
1122,Other,Caturra,7.33,6.92,7.08,7.42,7.17,0.1,No
1106,Other,Caturra,7.17,7.08,7.33,7.25,7.08,0.11,Yes
1255,Mexico,Typica,7.33,6.67,7.0,6.92,6.92,0.15,No
1307,Other,Typica,6.75,6.42,6.67,7.08,6.67,0.14,No
865,Mexico,Typica,7.42,7.33,7.58,7.33,7.33,0.11,Yes
131,Other,Other,8.08,7.75,7.83,7.58,7.67,0.1,Yes
323,Guatemala,Bourbon,8.0,7.33,8.0,8.0,8.0,0.1,Yes
1095,Honduras,Caturra,7.25,7.0,7.0,7.42,7.0,0.1,Yes
860,Other,Caturra,7.0,7.33,7.5,7.5,7.33,0.12,Yes
440,Brazil,Bourbon,7.67,7.5,7.58,7.67,7.58,0.11,Yes
668,Mexico,Typica,7.92,7.33,7.58,7.25,7.42,0.11,Yes
980,Costa Rica,Catuai,7.33,7.33,7.25,7.33,7.58,0.11,Yes
853,Guatemala,Bourbon,7.83,7.33,7.33,7.67,7.83,0.11,Yes
25,Brazil,Bourbon,8.5,8.0,8.0,8.0,8.0,0.12,Yes
828,Mexico,Other,7.5,7.25,7.5,7.33,7.33,0.14,Yes
825,Taiwan,Typica,7.5,7.42,7.25,7.5,7.5,0.11,Yes
1077,Guatemala,Bourbon,7.5,7.0,7.67,7.17,7.0,0.12,Yes
252,Colombia,Caturra,7.67,7.67,7.75,7.67,7.75,0.11,Yes
280,Taiwan,Typica,7.67,7.67,7.75,7.42,7.75,0.0,Yes
1127,Mexico,Typica,7.25,7.08,7.17,7.33,7.33,0.12,No
336,Guatemala,Caturra,7.75,7.5,7.83,7.58,7.58,0.11,Yes
436,Colombia,Caturra,7.67,7.5,7.5,7.58,7.67,0.11,Yes
1094,Brazil,Catuai,7.17,7.42,7.08,7.0,7.0,0.11,Yes
737,Brazil,Yellow Bourbon,7.42,7.5,7.08,7.5,7.42,0.0,Yes
1014,Guatemala,Bourbon,7.67,7.33,7.58,7.67,7.5,0.1,Yes
708,Brazil,Bourbon,7.5,7.42,7.5,7.42,7.5,0.11,Yes
466,Mexico,Other,7.58,7.42,7.67,7.5,7.58,0.14,Yes
589,Brazil,Yellow Bourbon,7.5,7.58,7.5,7.58,7.58,0.11,Yes
936,Brazil,Catuai,7.33,7.5,7.33,6.83,7.42,0.11,Yes
314,Brazil,Bourbon,7.67,7.5,7.67,7.67,7.5,0.11,Yes
812,Brazil,Other,7.58,7.17,7.5,7.5,7.42,0.12,Yes
177,Mexico,Other,7.75,7.75,7.67,7.83,7.67,0.12,Yes
661,Mexico,Other,7.42,7.5,7.67,7.25,7.5,0.0,Yes
581,Guatemala,Bourbon,7.5,7.42,7.58,7.67,7.5,0.1,Yes
282,Brazil,Bourbon,7.67,7.58,7.5,7.83,8.17,0.0,Yes
162,Colombia,Other,8.08,7.83,7.83,7.67,7.67,0.12,Yes
1225,Mexico,Typica,7.58,7.0,7.17,7.33,7.0,0.14,No
1001,Guatemala,Bourbon,7.42,7.17,7.5,7.25,7.17,0.09,Yes
381,Other,Other,7.5,7.75,7.5,7.75,7.67,0.13,Yes
1133,Mexico,Other,7.17,6.92,7.25,7.33,7.08,0.12,No
367,Mexico,Bourbon,7.83,7.25,7.5,7.5,7.42,0.13,Yes
1186,Guatemala,Bourbon,7.08,6.92,7.42,7.0,6.92,0.11,No
1115,Taiwan,Typica,7.42,7.25,7.17,7.0,7.0,0.07,Yes
69,Guatemala,Bourbon,8.0,7.67,8.33,7.83,8.0,0.11,Yes
217,Other,Caturra,7.67,7.83,7.5,7.67,7.83,0.12,Yes
468,Mexico,Typica,7.75,7.42,7.75,7.58,7.58,0.13,Yes
917,Other,Other,7.67,6.92,7.5,7.5,7.17,0.12,Yes
380,Other,Other,7.58,7.33,7.75,7.67,7.58,0.11,Yes
1319,Other,Other,7.67,7.58,7.83,7.83,8.0,0.09,Yes
896,Guatemala,Bourbon,7.42,7.08,7.5,7.42,7.33,0.12,Yes
833,Guatemala,Bourbon,7.42,7.25,7.5,7.33,7.42,0.1,Yes
1136,Mexico,Typica,7.33,7.0,7.42,7.17,7.17,0.12,No
650,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,0.12,Yes
253,Other,Other,7.67,7.5,7.75,7.92,7.67,0.0,Yes
2,Guatemala,Bourbon,8.42,8.42,8.42,8.33,8.42,0.0,Yes
279,Brazil,Yellow Bourbon,7.25,7.42,8.0,7.75,7.83,0.0,Yes
109,"Tanzania, United Republic Of",Other,8.0,7.83,7.92,7.75,7.75,0.12,Yes
993,Mexico,Typica,7.25,7.33,7.33,7.17,7.33,0.13,Yes
20,Other,Other,8.0,8.08,8.5,8.25,8.0,0.0,Yes
797,"Tanzania, United Republic Of",Other,7.67,7.33,7.42,7.42,7.42,0.13,Yes
903,Guatemala,Bourbon,7.42,7.17,7.58,7.42,7.5,0.12,Yes
787,Mexico,Typica,7.42,7.5,7.33,7.42,7.42,0.13,Yes
232,Colombia,Caturra,7.83,7.42,7.5,7.83,8.5,0.0,Yes
627,Mexico,Typica,7.5,7.58,7.58,7.42,7.42,0.12,Yes
830,Mexico,Bourbon,7.67,7.33,7.83,7.5,7.5,0.12,Yes
710,Costa Rica,Catuai,7.75,7.5,7.5,7.33,7.58,0.0,Yes
107,Colombia,Caturra,7.92,7.75,7.83,7.75,8.0,0.12,Yes
342,Other,Other,7.67,7.42,7.75,7.75,7.67,0.12,Yes
962,Taiwan,Typica,7.83,7.67,7.83,7.83,7.75,0.12,Yes
101,Other,Other,7.75,7.75,8.08,8.0,7.75,0.0,Yes
428,Colombia,Caturra,7.83,7.67,7.33,7.67,7.67,0.11,Yes
920,Brazil,Yellow Bourbon,7.58,7.5,7.67,7.67,7.83,0.0,Yes
1258,Mexico,Other,7.08,7.0,7.25,7.33,7.25,0.12,No
1248,Guatemala,Bourbon,7.0,6.67,7.17,6.83,6.83,0.11,No
564,Other,Other,7.25,7.5,7.42,7.75,7.42,0.11,Yes
1172,Mexico,Caturra,7.25,6.92,7.25,7.58,7.08,0.12,No
1165,Mexico,Typica,7.08,6.92,7.33,7.25,7.08,0.12,No
